Quote,Author,Book,Tags
"“Some of the best things that have ever happened to us wouldn’t have happened to us, if it weren’t for some of the worst things that have ever happened to us.”",Mokokoma Mokhonoana,N/A,"aphorism, aphorisms, appreciate, appreciation, attitude, attitudes, best, blessing, blessing-in-disguise, blessings, curse, curses, disguise, fortunate, fortune, fortunes, gift, gifts, gratitude, humor, humour, karma, luck, lucky, philosopher, philosophers, philosophies, philosophy, pray, prayer, prayers, quotation, quotations, quote, quotes, satire, stoic, stoicism, stoics, thankful, thankfulness, worse, worst"
"“But is life really worth so much? Let us examine this; it's a different inquiry. We will offer no solace for so desolate a prison house; we will encourage no one to endure the overlordship of butchers. We shall rather show that in every kind of slavery, the road of freedom lies open. I will say to the man to whom it befell to have a king shoot arrows at his dear ones [Prexaspes], and to him whose master makes fathers banquet on their sons' guts [Harpagus]: 'What are you groaning for, fool?... Everywhere you look you find an end to your sufferings. You see that steep drop-off? It leads down to freedom. You see that ocean, that river, that well? Freedom lies at its bottom. You see that short, shriveled, bare tree? Freedom hangs from it.... You ask, what is the path to freedom? Any vein in your body.”","Seneca,",Dying Every Day: Seneca at the Court of Nero,"41, anger, caligula, de-ira, freedom, stoicism, suicide, tyrants"
"“Sick and yet happy, in peril and yet happy, dying and yet happy, in exile and happy, in disgrace and happy.”",Epictetus,N/A,"epictetus, philosophy, stoicism"
"“It does good also to take walks out of doors, that our spirits may be raised and refreshed by the open air and fresh breeze: sometimes we gain strength by driving in a carriage, by travel, by change of air, or by social meals and a more generous allowance of wine.”",Seneca,N/A,"philosophy, relaxation, rest, stoicism"
“True affluence is not needing anything.”,Gary Snyder,N/A,"contentment, stoicism"
"“We all have problems. Or rather, everyone has at least one thing that they regard as a problem.”",Mokokoma Mokhonoana,N/A,"adage, adages, anxiety, anxious, aphorism, aphorisms, attitude, axiom, axioms, challenge, challenges, complain, complaining, complaint, deem, deep, dictum, dictums, endurance, endure, epigram, epigrams, feeling, feelings, gnome, gnomes, hardship, humor, humour, hurt, impression, impressions, insightful, inspiration, inspirational, inspire, inspired, made-me-think, make-you-think, maxim, maxims, motivated, motivational, motive, overcome, overcoming, pain, perspective, perspectives, philosopher, philosophers, philosophy, problem, problems, profound, proverb, proverbs, provoke-thought, quotation, quotations, quote, quotes, regard, satire, satirical, saying, sayings, self-inflict, self-inflicted, stoic, stoicism, stoics, stress, stressed, stressing, thought-provoking, thoughtful, tough-times, words-to-live-by, worried, worry, worrying"
“...we can do some historical research to see how our ancestors lived. We will quickly discover that we are living in what to them would have been a dream world that we tend to take for granted things that our ancestors had to live without...”,"William B. Irvine,",A Guide to the Good Life: The Ancient Art of Stoic Joy,"philosophy-of-life, stoicism"
"“Oh, dear me!"" he lamented. ""The raft has floated off and I suppose it's gone down that awful hole by now."" ""Well, never mind. We're not on it,"" said Snufkin gaily. ""What's a kettle here or there when you're out looking for a comet!”","Tove Jansson,",Comet in Moominland,"comets, contentedness, snufkin, stoicism"
"“Death would not surprise us as often as it does, if we let go of the misbelief that newborns are less mortal than the elderly.”",Mokokoma Mokhonoana,N/A,"age, aged, aphorism, aphorisms, aphorist, aphorists, belief, beliefs, birth, burial, bury, child, children, cycle, dead, death, die, elder, elders, fallacies, fallacy, funeral, funerals, funny, gone-too-soon, hereafter, hilarious, humor, humorous, humour, immortal, immortality, joke, jokes, kid, kids, life, life-after-death, life-and-death, misbelief, misbeliefs, misconception, misconceptions, mortal, mortality, newborn, newborns, offspring, old, old-age, old-age-home, old-age-homes, philosopher, philosophers-cry, philosophic, philosophy, prepare, prepared, quotations, quotes, rest-in-peace, rip, satire, stoic, stoicism, stoics, surprise, surprising, the-elders, the-hereafter, tomb, tombstone, tombstones, unprepared, weep"
"“Man is mostly a collection of emotions, most of which he would do better not to be feeling.”",Neel Burton,N/A,"emotion, epigram, feelings, philosophy, stoicism"
"“It is not the man who has too little who is poor, but the one who hankers after more.”","Seneca,",Letters from a Stoic,"philosophy, stoicism"
"“Most of us are “living the dream” living, that is, the dream we once had for ourselves.”","William B. Irvine,",A Guide to the Good Life: The Ancient Art of Stoic Joy,"philosophy-of-life, stoicism"
“Progress daily in your own uncertainty. Live in awareness of the questions.”,"Bremer Acosta,",Stoic Practice,"knowledge, learn, learning, mystery, progress, stoic, stoicism, uncertainty"
"“There are two things that must be rooted out in human beings - arrogant opinion and mistrust. Arrogant opinion expects that there is nothing further needed, and mistrust assumes that under the torrent of circumstance there can be no happiness.”","Epictetus,",The Discourses,stoicism
"“These...xistential qualms you suffer, they just mean you're truly human. I aked how I might remedy them. ""You don´t remedy them. You live thru them.”","David Mitchell,",Cloud Atlas,"existencialism, stoicism"
"“And here are two of the most immediately useful thoughts you will dip into. First that things cannot touch the mind: they are external and inert; anxieties can only come from your internal judgement. Second, hat all these things you see will change almost as you look at them, and then will be no more. Constantly bring to mind all that you yourself have already seen changed. The universe is change: life is judgement.”","Marcus Aurelius,",Meditations,stoicism
"“The philosopher's lecture room is a 'hospital': you ought not to walk out of it in a state of pleasure, but in pain; for you are not in good condition when you arrive.”",Epictetus,N/A,"epictetus, philosophy, stoicism"
"“Sine philosophia nemo intrepide potest vivere, nemo secure.”","Seneca,",The Stoic Philosophy of Seneca: Essays and Letters,stoicism
"“But Moominmamma was quite unperturbed.  ""Well, well!"" she said, ""it seems to me that our guests are having a very good time."" ""I hope so,"" replied Moominpappa. ""Pass me a banana, please dear.”","Tove Jansson,",Finn Family Moomintroll,"contentedness, hospitality, jungle, mothers, stoicism"
"“It was as if I'd lost some cosmic game of musical chairs; the song had stopped, I was left standing, and there was simply nothing to be dine about it.”","Justin Cronin,",The City of Mirrors,"cosmic, loss, musical-chairs, stoicism"
"“Emilio was certainly within his rights not to reveal the sordid details of his childhood even to his friends. Or perhaps especially to his friends, whose good opinion of him, he might feel, would not survive the revelations.”","Mary Doria Russell,",The Sparrow,"bad-childhood, childhood, mysterious, secrets, stoicism"
“Saiba que um teto de palha abriga o homem  tão bem quanto o de ouro.”,"Seneca,",Aprendendo a Viver,"humility, stoicism"
“Seek not for events to happen as you wish but rather wish for events to happen as they do and your life will go smoothly.”,"Epictetus,",Enchiridion,stoicism
"“How could I admit that the All-American Girl's force field of stoicism and self-reliance and do-unto-others-and-keep-smiling wasn't working, wasn't keeping pain and shame and powerlessness away?  From a young age I had learned to get over - to cover my tracks emotionally, to hide or ignore my problems in the belief that they were mine alone to solve. So when exhilarating transgressions required getting over on authority figures, I knew how to do it. I was a great bluffer. And when common, everyday survival in prison required getting over, I could do that too. This is what was approvingly described by my fellow prisoners as 'street-smarts,' as in 'You wouldn't think it to look at her, but Piper's got street-smarts.”","Piper Kerman,",Orange Is the New Black,"authority, emotions, prison, self-reliance, stoicism, street-smart, survival"
"“When you give your items away, don’t keep the excess of your pride.”","Bremer Acosta,",Stoic Practice,"minimalism, minimalist, simple, simplicity, stoic, stoicism"
"“All outdoors may be bedlam, provided there is no disturbance within.”",Seneca,N/A,"philosophy, self-knowledge, seneca, stoicism"
"“In Tsurani culture, forgiveness was simply a less shameful form of weakness than capitulation.”",Raymond E. Feist,N/A,"forgiveness, stoicism, the-great-game"
"“At the bar on the Favoritenstrasse, Julius the policeman talked to us about dignity, evolution, the great Darwin and the great Nietzsche. I translated so that my good friend Ulises could understand what he was saying, although I didn’t understand any of it. The prayer of the bones, said Julius. The yearning for health. The virtue of danger. The tenacity of the forgotten. Bravo, said my good friend Ulises. Bravo, said everyone else. The limits of memory. The wisdom of plants. The eye of parasites. The agility of the earth. The merit of the soldier. The cunning of the giant. The hole of the will. Magnificent, said my good friend Ulises in German. Extraordinary.”","Roberto Bolaño,",The Savage Detectives,"desert, giants, memory, nietzsche, prayer, stoicism"
